store_name,Mean,Sum,Max,Cluster
ACULIS MRAMIM ,131.0,262.0,156.0,prata
AIEMAMIMU IU PRUSEM,92.22888554216874,30619.99000000002,172.14,ouro
AMUARASSARA ,99.4,497.0,139.0,prata
AR CIM ,49.88000000000001,249.40000000000003,119.8,bronze
AR FAM ,23.533333333333335,211.8,30.0,bronze
AR PAZZI ,59.78033149171295,32460.720000000132,149.9,ouro
AR TRAMUO ,43.6905207226355,82225.56000000001,166.6,ouro
ARE TRAMUO ,43.22228624535265,162775.12999999808,175.0,ouro
ARIGAMIRAUR ,72.5222222222222,1305.3999999999996,142.8,ouro
ASOI ,29.937861111111143,21555.260000000024,82.0,bronze
AZASSARI ,41.3,165.2,62.7,bronze
CAI DA PUERI ,88.0,88.0,88.0,bronze
CAI RIRAMARI ,148.0,148.0,148.0,prata
CAIRIR PIPO ,50.0,250.0,50.0,bronze
CICI PIRPU ,98.95647925033526,73920.49000000044,175.0,prata
CICIU SZIS ,85.37192400970105,105605.0700000002,174.8,ouro
CIFUAMI ,69.77037037037037,1883.8,131.9,ouro
CILAFIRMAI CIOLA ,50.31866141732266,89466.57999999968,159.7,ouro
CIMRIM ,96.5,386.0,139.0,prata
CIMSMIMCU ,104.99,104.99,104.99,prata
CIMUAMI PUIMISURI ,88.33480158730147,22260.36999999997,173.7,ouro
CIOLAMISM ,39.5,118.5,48.0,bronze
CIPIMI PURGUR ,95.84089285714288,5367.090000000001,175.0,prata
CIPIOURMU ,144.0,144.0,144.0,prata
CIPRU ,58.724242424242426,3875.8,111.0,bronze
CIRACIOU ,88.92795339412393,87771.89000000032,173.99,ouro
CIRILAMI SILUS ,71.18170731707319,17510.700000000004,173.0,ouro
CIRIOURI PURGAR ,47.22498060512058,60873.00000000043,171.2,ouro
CIRIRIOU CIRIROI ,107.59257352941167,14632.589999999987,174.9,prata
CIRIROI U CAI ,49.8364385820259,181354.79999999225,174.4,ouro
CISAMZI LIVURS ,53.75,107.5,62.5,bronze
CISI DA PILIP ,39.81521739130435,1831.5,139.0,ouro
CISI DA POI EU QUASI ,56.86169590643277,19446.700000000008,171.0,ouro
CISI DA PRUSI ,80.16741379310345,4649.71,162.3,ouro
CISI DA URPIOU ,46.85825688073394,5107.549999999999,132.6,ouro
CISI OUS CACIS ,146.1375,1169.1,169.9,prata
CISI PILIME ,34.769999999999996,2503.4399999999996,101.0,bronze
CISI PIUEUEMI ,62.35367496339701,42587.56000000016,169.7,ouro
CISI RUVAVI ,79.0,158.0,79.0,bronze
CISIS PUERI ,112.36121951219515,4606.810000000001,170.74,prata
CISUMPES ,31.0875,2487.0,68.0,bronze
CLACAO SLARU ,87.12,435.6,118.1,ouro
CLUPU RULASSI ,110.47239130434772,10163.45999999999,169.9,prata
CRAIRAGIS ,124.13230769230769,1613.72,164.9,prata
CRICS ,128.48625,1027.89,169.1,prata
CRUPULICOS ,60.68533333333326,13654.199999999984,160.2,ouro
CUMOIARAS ,109.875,439.5,139.8,prata
CUMOIARAS QUAISQA ,119.9,119.9,119.9,prata
CUSMUI ,124.7,249.4,151.9,prata
CZALLA PUIMS ,86.04833333333335,1032.5800000000002,169.98,ouro
CZALLA PUIMS LISI ,143.73749999999998,1149.8999999999999,169.98,prata
CZALLA PUIMS QSQ ,169.98,339.96,169.98,prata
CZAMULIMACIS ,98.98,98.98,98.98,bronze
EA CUMUI ,95.31729957805936,45180.40000000014,175.0,prata
EA POILI ,46.63333333333333,139.9,85.9,bronze
EAVAMI FIGOI ,42.3276246023303,239489.69999998485,174.5,ouro
